Parcel,Address,Date posted,New,Municipality,Cleveland Ward,Bldgs,Status
671-02-116,13405 Gainsboro Ave,43027,,East Cleveland,,0,Vacant lot
671-17-125,14616 Dover Ave,43027,,East Cleveland,,0,Vacant lot
671-18-051,13920 Baldwin Ave,43027,,East Cleveland,,0,Vacant lot
671-23-012,14906 Elm Ave,43027,,East Cleveland,,0,Vacant lot
672-05-122,1170 Rozelle Ave,43027,,East Cleveland,,0,Vacant lot
672-05-171,1228 Bender Ave,43027,,East Cleveland,,0,Vacant lot
110-23-044,12340 Tuscora Ave,43026,,Cleveland,9,0,Vacant lot
138-02-168,3918 E 120th St,43026,,Cleveland,2,0,Vacant lot
681-07-130,972 Nela View Rd,43026,,Cleveland Heights,,1,Pending transfer
115-30-005,15414 Saint Clair Ave,43025,,Cleveland,8,0,Pending transfer
132-12-091,5715 Hosmer Ave,43025,,Cleveland,12,0,Vacant lot
646-22-079,1511 E 195th St,43025,,Euclid,,0,Vacant lot
109-04-121,10403 Adams Ave,43021,,Cleveland,9,0,Vacant lot
125-26-125,5767 Portage Ave,43021,,Cleveland,5,0,Vacant lot
125-36-036,3468 E 78th St,43021,,Cleveland,6,0,Vacant lot
128-13-036,9909 Stoughton Ave,43021,,Cleveland,4,0,Vacant lot
129-19-089,2931 E 120th St,43021,,Cleveland,4,0,Vacant lot
129-21-080,12617 Forest Ave,43021,,Cleveland,4,0,Vacant lot
131-20-112,5000 Hamm Ave,43021,,Cleveland,5,0,Vacant lot
131-34-055,3604 E 54th St,43021,,Cleveland,12,0,Vacant lot
131-37-099,3726 E 57th St,43021,,Cleveland,12,0,Vacant lot
133-06-036,3522 E 82nd St,43021,,Cleveland,6,0,Pending transfer
134-05-120,4103 E 79th St,43021,,Cleveland,12,0,Pending transfer
134-11-120,4308 E 72nd St,43021,,Cleveland,12,0,Vacant lot
138-12-087,4070 E 138th St,43021,,Cleveland,1,0,Pending transfer
138-18-104,4286 E 137th St,43021,,Cleveland,1,0,Vacant lot
671-03-019,13204 Shaw Ave,43021,,East Cleveland,,0,Vacant lot
671-21-013,14624 Elm Ave,43021,,East Cleveland,,0,Pending transfer
138-20-101,4305 E 142nd St,43020,,Cleveland,1,0,Vacant lot
009-03-005,4002 W 23rd St,43019,,Cleveland,12,0,Vacant lot
108-24-080,10015 Flora Ave,43019,,Cleveland,9,0,Pending transfer
109-21-102,11119 Ada Ave,43019,,Cleveland,9,0,Vacant lot
109-22-019,1091 Parkwood Dr,43019,,Cleveland,9,0,Vacant lot
116-10-051,690 E 157th St,43019,,Cleveland,8,0,Vacant lot
135-03-091,9909 Anderson Ave,43019,,Cleveland,6,0,Vacant lot
143-01-167,4686 Lee Rd,43019,,Cleveland,1,0,Vacant lot
671-01-046,1289 E 133rd St,43019,,East Cleveland,,0,Vacant lot
671-08-014,1800 Hayden Ave,43019,,East Cleveland,,0,Vacant lot
671-09-038,1648 Elsinore St,43019,,East Cleveland,,0,Vacant lot
671-10-146,13821 Strathmore Ave,43019,,East Cleveland,,0,Vacant lot
671-12-082,14104 Northfield Ave,43019,,East Cleveland,,0,Vacant lot
671-13-017,14604 Savannah Ave,43019,,East Cleveland,,0,Vacant lot
125-34-006,7031 Morgan Ave,43018,,Cleveland,6,0,Vacant lot
106-19-068,1532 E 81st St,43017,,Cleveland,7,0,Pending transfer
109-14-087,10703 Massie Ave,43017,,Cleveland,9,0,Vacant lot
125-12-033,6529 Rogers Ave,43017,,Cleveland,5,0,Vacant lot
125-14-053,2960 E 66th St,43017,,Cleveland,5,0,Pending transfer
125-34-005,7027 Morgan Ave,43017,,Cleveland,6,0,Vacant lot
125-35-052,3434 E 75th St,43017,,Cleveland,6,0,Vacant lot
129-22-064,11717 Griffing Ave,43017,,Cleveland,4,0,Vacant lot
130-03-058,3226 E 125th St,43017,,Cleveland,4,0,Vacant lot
131-23-041,5409 Caleb Ct,43017,,Cleveland,5,0,Vacant lot
132-08-112,3712 E 63rd St,43017,,Cleveland,12,0,Pending transfer
132-15-150,6915 Fullerton Ave,43017,,Cleveland,12,0,Pending transfer
125-10-038,3136 E 66th St,43013,,Cleveland,5,0,Vacant lot
015-04-149,3411 Meyer Ave,43012,,Cleveland,14,0,Vacant lot
107-12-089,1336 E 93rd St,43012,,Cleveland,7,0,Vacant lot
107-14-105,1360 E 89th St,43012,,Cleveland,7,0,Vacant lot
123-19-089,4436 Douse Ave,43012,,Cleveland,5,0,Vacant lot
125-30-033,3369 E 66th St,43012,,Cleveland,6,0,Vacant lot
130-09-064,3287 E 135th St,43012,,Cleveland,4,0,Vacant lot
135-07-039,3554 E 104th St,43011,,Cleveland,6,0,Vacant lot
104-22-026,5229 Luther Ave,43010,,Cleveland,7,0,Vacant lot
109-19-062,10920 Hathaway Ave,43010,,Cleveland,9,0,Vacant lot
105-22-102,6618 Bonna Ave,43007,,Cleveland,7,0,Pending transfer
105-29-085,7313 Myron Ave,43007,,Cleveland,7,0,Vacant lot
105-29-090,1260 E 74th St,43007,,Cleveland,7,0,Vacant lot
107-10-011,1220 E 89th St,43007,,Cleveland,7,0,Vacant lot
125-12-061,6523 Newman Ave,43007,,Cleveland,5,0,Pending transfer
127-11-039,9006 Fuller Ave,43007,,Cleveland,6,0,Vacant lot
671-16-114,14515 Elm Ave,43007,,East Cleveland,,0,Vacant lot
006-29-130,7195 Schneider Ave,43006,,Cleveland,3,0,Pending transfer
008-27-055,3738 W 15th St,43006,,Cleveland,12,0,Vacant lot
110-02-023,643 E 113th St,43006,,Cleveland,9,0,Vacant lot
110-31-016,1257 E 114th St,43006,,Cleveland,9,0,Vacant lot
129-18-097,2930 E 117th St,43006,,Cleveland,4,0,Pending transfer
129-25-157,12606 Griffing Ave,43006,,Cleveland,4,0,Vacant lot
136-02-056,9701 Nelson Ave,43006,,Cleveland,2,0,Vacant lot
138-18-054,13722 Beachwood Ave,43006,,Cleveland,1,0,Vacant lot
671-14-044,14201 Bardwell Ave,43006,,East Cleveland,,0,Vacant lot
006-24-042,3048 W 47th St,43004,,Cleveland,3,0,Pending transfer
114-06-031,17721 Ingleside Rd,43004,,Cleveland,8,1,Under renovation
125-14-047,2979 E 66th St,43004,,Cleveland,5,0,Pending transfer
671-01-026,1256 E 133rd St,43004,,East Cleveland,,0,Vacant lot
671-01-086,1291 E 134th St,43004,,East Cleveland,,0,Vacant lot
671-02-053,1362 E 134th St,43004,,East Cleveland,,0,Vacant lot
671-13-115,14405 Scioto Ave,43004,,East Cleveland,,0,Vacant lot
672-02-082,12717 Phillips Ave,43004,,East Cleveland,,0,Vacant lot
672-03-105,1145 Thornhill Dr,43004,,East Cleveland,,0,Vacant lot
672-05-085,1253 Rozelle Ave,43004,,East Cleveland,,0,Vacant lot
672-05-121,1176 Rozelle Ave,43004,,East Cleveland,,0,Vacant lot
673-11-017,1823 Taylor Rd,43004,,East Cleveland,,0,Vacant lot
007-07-132,2217 W 36th St,43003,,Cleveland,3,0,Pending transfer
016-06-005,6328 Storer Ave,43003,,Cleveland,3,0,Vacant lot
023-14-001,,43000,,Cleveland,16,0,Pending transfer
105-32-135,1168 E 78th St,43000,,Cleveland,9,0,Vacant lot
108-19-027,9020 Yale Ave,43000,,Cleveland,9,0,Vacant lot
109-18-054,10520 Hathaway Ave,43000,,Cleveland,9,0,Vacant lot
130-07-096,3250 E 132nd St,43000,,Cleveland,4,0,Vacant lot
671-08-053,1509 Lakefront Ave,43000,,East Cleveland,,0,Vacant lot
671-16-020,1241 E 146th St,43000,,East Cleveland,,0,Vacant lot
106-07-103,1420 E 84th St,42999,,Cleveland,7,0,Vacant lot
106-19-069,1528 E 81st St,42999,,Cleveland,7,0,Pending transfer
131-20-156,4917 Dalton Ave,42999,,Cleveland,5,0,Pending transfer
131-20-164,5015 Dalton Ave,42999,,Cleveland,5,0,Vacant lot
132-25-106,6827 Clement Ave,42999,,Cleveland,12,0,Vacant lot
104-17-060,5901 White Ave,42998,,Cleveland,7,0,Vacant lot
106-18-076,7610 Redell Ave,42998,,Cleveland,7,0,Vacant lot
123-30-087,5004 Dolloff Rd,42998,,Cleveland,5,0,Vacant lot
125-27-081,5892 Cable Ave,42998,,Cleveland,5,0,Vacant lot
125-28-040,3392 E 65th St,42998,,Cleveland,5,0,Vacant lot
134-10-048,7213 Alice Ave,42997,,Cleveland,12,0,Vacant lot
130-07-019,3305 E 128th St,42996,,Cleveland,4,0,Vacant lot
134-14-101,8210 Force Ave,42996,,Cleveland,2,0,Vacant lot
129-22-099,11810 Parkview Ave,42995,,Cleveland,4,0,Vacant lot
115-27-048,874 Alhambra Rd,42993,,Cleveland,8,0,Vacant lot
126-05-057,8704 Beckman Ave,42992,,Cleveland,6,0,Vacant lot
127-11-024,9005 Easton Ave,42992,,Cleveland,6,0,Vacant lot
127-24-009,3415 E 102nd St,42992,,Cleveland,6,0,Vacant lot
128-17-057,9808 Mount Auburn Ave,42992,,Cleveland,4,0,Vacant lot
128-18-109,10005 Dickens Ave,42992,,Cleveland,4,0,Vacant lot
128-26-055,2951 E 112th St,42992,,Cleveland,4,0,Vacant lot
129-18-070,11621 Forest Ave,42992,,Cleveland,4,0,Vacant lot
130-09-021,3313 E 134th St,42992,,Cleveland,4,0,Vacant lot
132-06-034,6720 Forman Ave (fr & Rear),42992,,Cleveland,12,0,Vacant lot
132-13-029,6203 Fullerton Ave,42992,,Cleveland,12,0,Vacant lot
134-01-080,4087 E 72nd St,42992,,Cleveland,12,0,Vacant lot
135-03-073,10208 Anderson Ave,42992,,Cleveland,6,0,Vacant lot
137-09-004,12014 Rexford Ave,42992,,Cleveland,4,0,Vacant lot
671-17-122,14709 Alder Ave,42992,,East Cleveland,,0,Vacant lot
X132-06-034.1,6720 Forman Ave (fr & Rear),42992,,Cleveland,12,0,Vacant lot
020-09-157,,42991,,Cleveland,16,0,Pending transfer
108-21-042,9414 Yale Ave,42991,,Cleveland,9,0,Vacant lot
108-23-030,10115 Born Ave,42991,,Cleveland,9,0,Vacant lot
109-02-035,9119 Columbia Ave,42991,,Cleveland,9,0,Vacant lot
109-02-153,9302 Pierpont Ave,42991,,Cleveland,9,0,Vacant lot
109-10-006,10000 Westchester Ave,42991,,Cleveland,9,0,Vacant lot
110-19-040,11400 Temblett Ave,42991,,Cleveland,9,0,Vacant lot
110-21-033,11518 Tuscora Ave,42991,,Cleveland,9,0,Vacant lot
110-22-067,12002 Fairport Ave,42991,,Cleveland,9,0,Vacant lot
112-20-077,393 E 147th St,42991,,Cleveland,8,0,Vacant lot
137-03-030,12603 Oakfield Ave,42991,,Cleveland,4,0,Vacant lot
682-06-060,3678 Atherstone Rd,42991,,Cleveland Heights,,1,Under renovation
105-23-084,6920 Bayliss Ave,42990,,Cleveland,7,0,Pending transfer
105-31-033,1015 E 76th St,42990,,Cleveland,9,0,Vacant lot
105-31-048,1081 E 76th St,42990,,Cleveland,9,0,Vacant lot
130-01-154,11822 Imperial Ave,42990,,Cleveland,4,0,Vacant lot
136-17-062,4095 E 106th St,42990,,Cleveland,2,0,Vacant lot
671-18-026,13817 Baldwin Ave,42990,,East Cleveland,,0,Vacant lot
672-15-032,13010 Forest Hill Ave,42990,,East Cleveland,,0,Pending transfer
128-18-073,10105 Manor Ave,42989,,Cleveland,4,0,Vacant lot
671-05-024,1588 E 133rd St,42989,,East Cleveland,,0,Vacant lot
671-10-065,14225 Savannah Ave,42989,,East Cleveland,,0,Vacant lot
672-02-063,1085 Carlyon Rd,42989,,East Cleveland,,0,Vacant lot
672-03-044,1009 E 129th St,42989,,East Cleveland,,0,Pending transfer
672-16-030,13210 Forest Hill Ave,42989,,East Cleveland,,0,Vacant lot
015-06-091,4307 Trowbridge Ave,42986,,Cleveland,14,0,Pending transfer
106-05-059,7722 Decker Ave,42986,,Cleveland,7,0,Vacant lot
108-07-071,751 E 96th St,42986,,Cleveland,10,0,Vacant lot
130-16-027,3479 E 149th St,42986,,Cleveland,1,0,Pending transfer
109-08-100,10004 North Blvd,42984,,Cleveland,9,0,Vacant lot
673-03-050,1782 Rosedale Ave,42983,,East Cleveland,,0,Pending transfer
673-04-009,15500 Elderwood Ave,42983,,East Cleveland,,0,Vacant lot
673-12-063,1869 Allendale Ave,42983,,East Cleveland,,0,Vacant lot
681-04-030,923 Brunswick Rd,42980,,Cleveland Heights,,0,Vacant lot
008-13-026,1175 Holmden Ave,42978,,Cleveland,12,0,Pending transfer
108-21-017,10012 Garfield Ave,42978,,Cleveland,9,0,Vacant lot
109-13-067,10717 Greenlawn Ave,42978,,Cleveland,9,0,Vacant lot
110-02-094,653 E 117th St,42978,,Cleveland,9,0,Vacant lot
120-03-084,1365 E 111th St,42978,,Cleveland,9,0,Vacant lot
128-16-089,9600 Parkview Ave,42978,,Cleveland,4,0,Vacant lot
128-17-009,9706 Parkview Ave,42978,,Cleveland,4,0,Vacant lot
128-25-035,11504 Parkview Ave,42978,,Cleveland,4,0,Vacant lot
131-34-024,3602 E 55th St,42978,,Cleveland,12,0,Vacant lot
132-06-007,6722 Baxter Ave,42978,,Cleveland,12,0,Vacant lot
132-10-091,3818 E 54th St,42978,,Cleveland,12,0,Vacant lot
134-04-037,4111 E 78th St,42978,,Cleveland,12,0,Vacant lot
135-07-049,3520 E 104th St,42978,,Cleveland,6,0,Vacant lot
142-24-002,4587 E 144th St,42978,,Cleveland,1,0,Vacant lot
304-10-013,2054 Lakeview Ave,42978,,Rocky River,,0,Pending transfer
671-02-033,13311 Shaw Ave,42978,,East Cleveland,,0,Vacant lot
671-04-012,13408 Hartford Ave,42978,,East Cleveland,,0,Vacant lot
671-05-055,13407 4th Ave,42978,,East Cleveland,,0,Vacant lot
671-05-177,13409 Garden Rd,42978,,East Cleveland,,0,Vacant lot
671-12-174,14212 Savannah Ave,42978,,East Cleveland,,0,Vacant lot
671-16-045,1265 E 145th St,42978,,East Cleveland,,0,Pending transfer
671-21-047,1371 Elwood Ave,42978,,East Cleveland,,0,Vacant lot
672-03-047,1002 E 130th St,42978,,East Cleveland,,0,Vacant lot
672-05-049,1998 Hayden Ave,42978,,East Cleveland,,0,Pending transfer
672-05-079,1227 Rozelle Ave,42978,,East Cleveland,,0,Vacant lot
672-17-042,13417 Forest Hill Ave,42978,,East Cleveland,,0,Vacant lot
672-20-018,1842 Mount Union St,42978,,East Cleveland,,0,Vacant lot
135-11-071,3518 E 113th St,42977,,Cleveland,2,0,Pending transfer
135-13-017,3641 E 112th St,42977,,Cleveland,2,0,Vacant lot
135-16-071,9518 Way Ave,42977,,Cleveland,2,0,Vacant lot
135-17-018,9917 Gay Ave,42977,,Cleveland,2,0,Vacant lot
136-02-046,9909 Nelson Ave,42977,,Cleveland,2,0,Vacant lot
137-01-071,3535 E 117th St,42977,,Cleveland,2,0,Vacant lot
137-08-078,3644 E 118th St,42977,,Cleveland,2,0,Pending transfer
672-02-031,1112 Carlyon,42977,,East Cleveland,,1,Pending transfer
672-14-138,1851 Woodlawn Ave,42977,,East Cleveland,,0,Pending transfer
684-28-103,3324 Desota,42977,,Cleveland Heights,,0,Vacant lot
139-04-084,3866 E 144th St,42976,,Cleveland,2,0,Vacant lot
108-11-106,10400 Colonial Ave,42975,,Cleveland,9,0,Vacant lot
671-01-165,1265 E 137th St,42975,,East Cleveland,,0,Vacant lot
006-04-089,7700 Dudley Ave,42972,,Cleveland,15,0,Vacant lot
006-04-096,7808 Dudley Ave,42972,,Cleveland,15,0,Vacant lot
110-25-151,12205 Scottwood Ave,42972,,Cleveland,9,0,Vacant lot
113-20-043,16124 Arcade Ave,42972,,Cleveland,8,0,Vacant lot
113-22-101,1136 E 168th St,42972,,Cleveland,8,0,Pending transfer
117-03-061,1716 Clarkstone Rd,42972,,Cleveland,10,0,Vacant lot
127-23-043,9622 Raymond Ave,42972,,Cleveland,6,0,Vacant lot
130-07-095,3254 E 132nd St,42972,,Cleveland,4,0,Vacant lot
135-05-090,9713 Sandusky Ave,42972,,Cleveland,2,0,Vacant lot
136-16-046,10409 Miles Ave,42972,,Cleveland,2,0,Vacant lot
137-25-033,13909 Durkee Ave,42972,,Cleveland,2,0,Vacant lot
138-04-112,12705 Benwood Ave,42972,,Cleveland,2,0,Vacant lot
139-07-001,3839 E 144th St,42972,,Cleveland,2,0,Vacant lot
139-10-069,3573 E 144th St,42972,,Cleveland,2,0,Vacant lot
139-12-015,3681 E 147th St,42972,,Cleveland,2,0,Vacant lot
134-13-181,7702 Force Ave,42971,,Cleveland,2,0,Vacant lot
134-18-128,7700 New York Ave,42971,,Cleveland,2,0,Vacant lot
134-22-041,7710 Vineyard Ave,42971,,Cleveland,2,0,Vacant lot
135-04-062,9387 Aetna Ave,42971,,Cleveland,6,0,Vacant lot
135-09-089,3690 E 105th St,42971,,Cleveland,6,0,Vacant lot
672-02-117,1053 Thornhill Dr,42971,,East Cleveland,,0,Vacant lot
673-05-004,1713 Strathmore Ave,42971,,East Cleveland,,0,Vacant lot
104-17-100,1426 E 63rd St,42970,,Cleveland,7,0,Vacant lot
105-24-068,1068 E 67th St,42970,,Cleveland,7,0,Vacant lot
105-27-087,1058 E 72nd St,42970,,Cleveland,10,0,Vacant lot
105-31-151,1097 E 78th St,42970,,Cleveland,9,0,Vacant lot
106-06-076,1335/37 E 82 St,42970,,Cleveland,7,0,Vacant lot
106-19-091,1534 E 81st St,42970,,Cleveland,7,0,Vacant lot
107-12-049,1322 E 92nd St,42970,,Cleveland,7,0,Vacant lot
107-12-152,1361 E 95th St,42970,,Cleveland,7,0,Vacant lot
107-14-047,1318 E 86th St,42970,,Cleveland,7,0,Vacant lot
107-16-180,1527 E 86th St,42970,,Cleveland,7,0,Vacant lot
118-05-077,1781 E 68th St,42970,,Cleveland,7,0,Vacant lot
120-05-029,1340 Lakeview Ave,42970,,Cleveland,9,0,Vacant lot
123-20-053,3044 Nursery Ave,42970,,Cleveland,5,0,Vacant lot
126-06-087,8702 Nevada Ave,42970,,Cleveland,6,0,Vacant lot
127-11-023,9009 Easton Ave,42970,,Cleveland,6,0,Vacant lot
127-12-093,9014 Easton Ave,42970,,Cleveland,6,0,Vacant lot
128-02-161,10806 Hulda Ave,42970,,Cleveland,6,0,Vacant lot
128-12-082,9616 Sophia Ave,42970,,Cleveland,4,0,Vacant lot
128-14-074,10505 Parkview Ave,42970,,Cleveland,4,0,Vacant lot
128-16-056,9528 Mount Auburn Ave,42970,,Cleveland,4,0,Pending transfer
128-16-076,9323 Mount Auburn Ave (fr & Rear),42970,,Cleveland,4,0,Vacant lot
128-17-088,9609 Manor Ave,42970,,Cleveland,4,0,Vacant lot
135-20-091,10922 Revere Ave,42970,,Cleveland,2,0,Vacant lot
137-06-057,3535 E 139th St,42970,,Cleveland,2,0,Vacant lot
138-04-110,12709 Benwood Ave,42970,,Cleveland,2,0,Vacant lot
139-03-096,3785 E 143rd St,42970,,Cleveland,2,0,Vacant lot
139-03-097,3789 E 143rd St,42970,,Cleveland,2,0,Vacant lot
139-11-035,3602 E 151st St,42970,,Cleveland,2,0,Vacant lot
671-02-046,1359 E 133rd St,42970,,East Cleveland,,0,Vacant lot
671-02-126,13410 Mann Ave,42970,,East Cleveland,,0,Pending transfer
671-12-148,13817 Potomac Ave,42970,,East Cleveland,,0,Vacant lot
672-04-044,1256 N Lockwood Ave,42970,,East Cleveland,,0,Vacant lot
672-24-106,1882 Roxford Rd,42970,,East Cleveland,,0,Vacant lot
X128-16-076.1,9323 Mount Auburn Ave (fr & Rear),42970,,Cleveland,4,0,Vacant lot
107-10-098,1216 E 87th St,42969,,Cleveland,7,0,Vacant lot
108-13-118,10608 Elk Ave,42969,,Cleveland,9,0,Vacant lot
109-04-135,10117 Adams Ave,42969,,Cleveland,9,0,Vacant lot
110-04-014,629 E 118th St,42969,,Cleveland,9,0,Vacant lot
110-20-017,11603 Durant Ave,42969,,Cleveland,9,0,Vacant lot
110-21-107,11322 Ohlman Ave,42969,,Cleveland,9,0,Vacant lot
110-22-005,11702 Durant Ave,42969,,Cleveland,9,0,Pending transfer
110-27-011,12422 Castlewood Ave,42969,,Cleveland,9,0,Vacant lot
112-19-017,488 E 143rd St,42969,,Cleveland,8,0,Pending transfer
112-26-023,14114 Darwin Ave,42969,,Cleveland,8,0,Vacant lot
130-20-131,3450 E 117th St,42969,,Cleveland,2,0,Vacant lot
135-07-143,3530 E 108th St,42969,,Cleveland,2,0,Vacant lot
135-11-061,3545 E 113th St,42969,,Cleveland,2,0,Vacant lot
135-13-044,3598 E 113th St,42969,,Cleveland,2,0,Vacant lot
135-16-060,9509 Reno Ave,42969,,Cleveland,2,0,Vacant lot
135-20-109,11209 Matilda Ave,42969,,Cleveland,2,0,Vacant lot
136-01-076,9414 Elizabeth Ave,42969,,Cleveland,2,0,Vacant lot
136-02-030,9710 Elizabeth Ave,42969,,Cleveland,2,0,Vacant lot
136-17-030,4138 E 110th St,42969,,Cleveland,2,0,Vacant lot
711-03-020,872 Richmond Rd,42969,,Lyndhurst,,1,Under renovation
123-31-050,3291 E 49th St,42968,,Cleveland,5,0,Vacant lot
125-28-084,6154 Morton Ave,42968,,Cleveland,5,0,Vacant lot
106-05-027,1408 E 80th St,42965,,Cleveland,7,0,Vacant lot
108-24-063,10110 Folk Ave,42965,,Cleveland,9,0,Vacant lot
110-23-056,12438 Tuscora Ave,42965,,Cleveland,9,0,Vacant lot
125-24-033,5638 Drake Ave,42965,,Cleveland,5,0,Vacant lot
129-24-026,3026 E 126th St,42965,,Cleveland,4,0,Vacant lot
129-25-160,12605 Parkhill Ave,42965,,Cleveland,4,0,Vacant lot
131-23-071,5107 Hamm Ave,42965,,Cleveland,5,0,Vacant lot
136-16-014,10504 Harvard Ave,42965,,Cleveland,2,0,Vacant lot
016-11-156,3147 W 56th St,42964,,Cleveland,3,0,Pending transfer
108-13-107,10528 Elk Ave,42964,,Cleveland,9,0,Vacant lot
108-20-070,836 E 95th St,42964,,Cleveland,9,0,Vacant lot
108-21-044,9504 Yale Ave,42964,,Cleveland,9,0,Vacant lot
108-21-051,9800 Yale Ave,42964,,Cleveland,9,0,Vacant lot
108-24-032,10105 Garfield Ave,42964,,Cleveland,9,0,Vacant lot
108-24-095,798 E 103rd St,42964,,Cleveland,9,0,Pending transfer
109-21-069,1034 Linn Dr,42964,,Cleveland,9,0,Vacant lot
109-21-090,11120 Tuscora Ave,42964,,Cleveland,9,0,Vacant lot
110-23-049,12408 Tuscora Ave,42964,,Cleveland,9,0,Vacant lot
108-28-087,661 E 109th St,42963,,Cleveland,9,0,Vacant lot
109-12-095,10626 Gooding Ave,42963,,Cleveland,9,0,Vacant lot
109-22-044,1118 E 111th St,42963,,Cleveland,9,0,Vacant lot
109-22-119,1096 E 113th St,42963,,Cleveland,9,0,Vacant lot
109-23-062,1215 E 112th St,42963,,Cleveland,9,0,Vacant lot
109-24-036,1231 Parkwood Dr,42963,,Cleveland,9,0,Vacant lot
115-27-085,881 Rudyard Rd,42963,,Cleveland,8,0,Vacant lot
115-27-144,939 Rondel Rd,42963,,Cleveland,8,0,Vacant lot
132-13-038,6208 Fullerton Ave,42963,,Cleveland,12,0,Pending transfer
134-19-024,4416 Warner Rd,42963,,Cleveland,2,0,Vacant lot
682-21-037,4069 Bluestone Rd,42963,,Cleveland Heights,,1,Under renovation
131-23-014,5010 Barkwill Ave,42962,,Cleveland,5,0,Pending transfer
123-20-116,4676 Gallup Ave,42961,,Cleveland,5,0,Vacant lot
123-20-117,4680 Gallup Ave,42961,,Cleveland,5,0,Pending transfer
125-24-036,5630 Drake Ave,42961,,Cleveland,5,0,Vacant lot
125-28-092,6122 Morton Ave,42961,,Cleveland,5,0,Vacant lot
129-27-042,11910 Soika Ave,42961,,Cleveland,4,0,Vacant lot
129-27-066,12111 Imperial Ave,42961,,Cleveland,4,0,Pending transfer
134-05-102,4081 E 79th St,42961,,Cleveland,12,0,Vacant lot
109-02-168,9707 Parkgate Ave,42957,,Cleveland,9,0,Vacant lot
109-12-116,10611 Gooding Ave,42957,,Cleveland,9,0,Pending transfer
109-22-089,1101 E 112th St,42957,,Cleveland,9,0,Vacant lot
129-14-079,2822 E 118th St,42957,,Cleveland,6,0,Vacant lot
130-15-068,3266 E 143rd St,42957,,Cleveland,1,0,Vacant lot
138-11-060,4068 E 136th St,42957,,Cleveland,1,0,Vacant lot
671-05-059,13505 4th Ave,42957,,East Cleveland,,0,Vacant lot
110-15-054,745 E 131st St,42955,,Cleveland,10,0,Vacant lot
127-27-115,3400 E 114th St,42955,,Cleveland,4,0,Vacant lot
128-02-156,10704 Hulda Ave,42955,,Cleveland,6,0,Vacant lot
671-01-118,1300 E 135th St,42955,,East Cleveland,,0,Vacant lot
671-03-032,1452 E 133rd St,42955,,East Cleveland,,0,Vacant lot
671-04-064,13603 Graham Rd,42955,,East Cleveland,,0,Vacant lot
671-09-006,1640 Bryn Mawr Rd,42955,,East Cleveland,,0,Vacant lot
671-10-045,13913 Savannah Ave,42955,,East Cleveland,,0,Vacant lot
671-11-244,14611 Savannah Ave,42955,,East Cleveland,,0,Vacant lot
671-14-045,14207 Bardwell Ave,42955,,East Cleveland,,0,Vacant lot
672-03-021,1312 Eddy Rd,42955,,East Cleveland,,0,Vacant lot
672-23-069,1901 Windermere St,42955,,East Cleveland,,0,Pending transfer
672-24-025,1906 Rosemont Rd,42955,,East Cleveland,,0,Vacant lot
672-24-066,1871 Marloes Ave,42955,,East Cleveland,,0,Vacant lot
672-25-039,1841 Rosemont Rd,42955,,East Cleveland,,0,Vacant lot
673-02-032,1752 Collamer Ave,42955,,East Cleveland,,0,Vacant lot
673-03-016,15919 Elderwood Ave,42955,,East Cleveland,,0,Vacant lot
673-03-094,1734 Rosedale Ave,42955,,East Cleveland,,0,Pending transfer
673-03-100,1758 Rosedale Ave,42955,,East Cleveland,,0,Vacant lot
130-11-048,3288-3290 E 139th St,42950,,Cleveland,4,0,Vacant lot
130-22-096,3464 E 123rd St,42949,,Cleveland,4,0,Vacant lot
138-20-013,14121 Caine Ave,42949,,Cleveland,1,0,Vacant lot
001-30-025,1983 W 93rd St,42948,,Cleveland,15,0,Vacant lot
108-19-022,9009 Yale Ave,42948,,Cleveland,9,0,Vacant lot
108-27-021,868 Parkwood Dr,42948,,Cleveland,9,0,Vacant lot
109-18-125,10704 Hampden Ave,42948,,Cleveland,9,0,Vacant lot
109-23-131,1215 Parkwood Dr,42948,,Cleveland,9,0,Vacant lot
110-19-021,11403 Durant Ave,42948,,Cleveland,9,0,Vacant lot
111-11-120,12525 Vashti Ave,42948,,Cleveland,8,0,Vacant lot
112-03-128,13824 Eaglesmere Ave,42948,,Cleveland,8,0,Vacant lot
125-08-016,6516 Hubbard Ave,42948,,Cleveland,5,0,Pending transfer
125-14-064,2953 E 65th St,42948,,Cleveland,5,0,Pending transfer
125-14-070,2975 E 65th St,42948,,Cleveland,5,0,Pending transfer
127-24-152,3422 E 103rd St,42948,,Cleveland,6,0,Vacant lot
129-29-081,12813 Abell Ave,42948,,Cleveland,4,0,Vacant lot
135-07-035,3568 E 104th St,42948,,Cleveland,6,0,Vacant lot
104-14-034,5911 Dibble Ave,42947,,Cleveland,7,0,Pending transfer
105-30-042,1004 E 79th St,42947,,Cleveland,9,0,Vacant lot
105-30-088,992 E 78th St,42947,,Cleveland,9,0,Vacant lot
106-11-044,7520 Lawnview Ave,42947,,Cleveland,7,0,Vacant lot
106-21-048,8118 Melrose Ave,42947,,Cleveland,7,0,Vacant lot
107-03-083,993 Maude Ave,42947,,Cleveland,9,0,Vacant lot
128-14-011,2898 E 104th St,42947,,Cleveland,4,0,Vacant lot
128-21-036,3114 E 99th St,42947,,Cleveland,4,0,Vacant lot
138-20-109,4337 E 142nd St,42947,,Cleveland,1,0,Vacant lot
104-17-044,6311 White Ave,42944,,Cleveland,7,0,Vacant lot
